Fecha,Caudal,Caudal_log,Caudal_log1p,Caudal_log_diff,Caudal_diff,Mes,Mes_nombre,Trimestre,Trimestre_label,Año,Epoca
2014-02-17,2.61,1.2837077723447896,1.2837077723447896,0.009462915033521924,0.03399999999999981,2,Feb,1,Q1,2014,Seca
2014-02-18,2.599,1.2806560290968938,1.2806560290968938,-0.0030517432478958106,-0.010999999999999677,2,Feb,1,Q1,2014,Seca
2014-02-19,2.582,1.27592130363852,1.27592130363852,-0.004734725458373834,-0.017000000000000348,2,Feb,1,Q1,2014,Seca
2014-02-20,2.599,1.2806560290968938,1.2806560290968938,0.004734725458373834,0.017000000000000348,2,Feb,1,Q1,2014,Seca
2014-02-21,2.605,1.2823217707369123,1.2823217707369123,0.0016657416400185365,0.005999999999999783,2,Feb,1,Q1,2014,Seca
2014-02-22,2.576,1.2742448573112677,1.2742448573112677,-0.00807691342564465,-0.028999999999999915,2,Feb,1,Q1,2014,Seca
2014-02-23,2.593,1.2789875081313815,1.2789875081313817,0.004742650820114047,0.016999999999999904,2,Feb,1,Q1,2014,Seca
2014-02-24,2.148,1.146767330555157,1.146767330555157,-0.13222017757622484,-0.44499999999999984,2,Feb,1,Q1,2014,Seca
2014-02-25,2.479,1.246744896169805,1.246744896169805,0.09997756561464821,0.33099999999999996,2,Feb,1,Q1,2014,Seca
2014-02-26,2.593,1.2789875081313815,1.2789875081313817,0.03224261196157663,0.11399999999999988,2,Feb,1,Q1,2014,Seca
2014-02-27,2.571,1.2728456686123115,1.2728456686123115,-0.0061418395190702135,-0.021999999999999797,2,Feb,1,Q1,2014,Seca
2014-02-28,2.815861111111112,1.3391663564643206,1.3391663564643206,0.06632068785200906,0.24486111111111164,2,Feb,1,Q1,2014,Seca
2014-03-01,2.8948611111111107,1.3596580204356217,1.3596580204356215,0.020491663971300866,0.07899999999999885,3,Mar,1,Q1,2014,Lluviosa
2014-03-02,3.756,1.5594069788285354,1.5594069788285354,0.19974895839291396,0.8611388888888891,3,Mar,1,Q1,2014,Lluviosa
